 Abreas:0 "Abreas"
 Karneades:0 "Karneades"
 Karsis:0 "Karsis"
 Kassandros:0 "Kassandros"
 Kebalinos:0 "Kebalinos"
 Kephalon:0 "Kephalon"
 Kephisodoros:0 "Kephisodoros"
 Kephisodotos:0 "Kephisodotos"
 Kephisophon:0 "Kephisophon"
 Kineas:0 "Kineas"
 Kleandros:0 "Kleandros"
 Kleanthes:0 "Kleanthes"
 Klearchos:0 "Klearchos"
 Kleitos:0 "Kleitos"
 Kleombrotos:0 "Kleombrotos"
 Kleomenes:0 "Kleomenes"
 Kleonymos:0 "Kleonymos"
 Koinos:0 "Koinos"
 Koroibos:0 "Koroibos"
 Krateros:0 "Krateros"
 Krates:0 "Krates"
 Krateuas:0 "Krateuas"
 Krenides:0 "Krenides"
 Ktesikles:0 "Ktesikles"
 Lachares:0 "Lachares"
 Laomedon:0 "Laomedon"
 Leonidas:0 "Leonidas"
 Leonnatos:0 "Leonnatos"
 Leontios:0 "Leontios"
 Leosthenes:0 "Leosthenes"
 Leostratos:0 "Leostratos"
 Leukon:0 "Leukon"
 Lydiadas:0 "Lydiadas"
 Lykurgos:0 "Lykurgos"
 Lysandridas:0 "Lysandridas"
 Lysandros:0 "Lysandros"
 Lysias:0 "Lysias"
 Lysimachos:0 "Lysimachos"
 Lysippos:0 "Lysippos"
 Lysistratos:0 "Lysistratos"
 Machanidas:0 "Machanidas"
 Machatas:0 "Machatas"
 Magas:0 "Magas"
 Makartatos:0 "Makartatos"
 Marsyas:0 "Marsyas"
 Megaleas:0 "Megaleas"
 Megasthenes:0 "Megasthenes"
 Meleagros:0 "Meleagros"
 Memnon:0 "Memnon"
 Menandros:0 "Menandros"
 Menedemos:0 "Menedemos"
 Menelaos:0 "Menelaos"
 Menes:0 "Menes"
 Menidas:0 "Menidas"
 Menippos:0 "Menippos"
 Menon:0 "Menon"
 Menos:0 "Menos"
 Metrodoros:0 "Metrodoros"
 Metron:0 "Metron"
 Milon:0 "Milon"
 Mnaseas:0 "Mnaseas"
 Mnesidemos:0 "Mnesidemos"
 Molon:0 "Molon"
 Nabis:0 "Nabis"
 Neaichmos:0 "Neaichmos"
 Nearchos:0 "Nearchos"
 Neoptolemos:0 "Neoptolemos"
 Nikagoras:0 "Nikagoras"
 Nikandros:0 "Nikandros"
 Nikanor:0 "Nikanor"
 Nikarchos:0 "Nikarchos"
 Nikephoros:0 "Nikephoros"
 Nikeratos:0 "Nikeratos"
 Niketes:0 "Niketes"
 Nikias:0 "Nikias"
 Nikodoros:0 "Nikodoros"
 Nikokles:0 "Nikokles"
 Nikokrates:0 "Nikokrates"
 Nikokreon:0 "Nikokreon"
 Nikomachos:0 "Nikomachos"
 Nikomedes:0 "Nikomedes"
 Nikostratos:0 "Nikostratos"
 Numenios:0 "Numenios"
 Olympiodoros:0 "Olympiodoros"
 Onomarchos:0 "Onomarchos"
 Onomastos:0 "Onomastos"
 Ophellas:0 "Ophellas"
 Orestes:0 "Orestes"
 Paionios:0 "Paionios"
 Pairisades:0 "Pairisades"
 Pantaleon:0 "Pantaleon"
 Pantauchos:0 "Pantauchos"
 Pantordanos:0 "Pantordanos"
 Parmenion:0 "Parmenion"
 Patrokles:0 "Patrokles"
 Pausanias:0 "Pausanias"
 Peithagoras:0 "Peithagoras"
 Peithon:0 "Peithon"
 Pelopidas:0 "Pelopidas"
 Pelops:0 "Pelops"
 Perdikkas:0 "Perdikkas"
 Peroidas:0 "Peroidas"
 Perseus:0 "Perseus"
 Peukestas:0 "Peukestas"
 Peukolaos:0 "Peukolaos"
 Pherekles:0 "Pherekles"
 Philemon:0 "Philemon"
 Philetairos:0 "Philetairos"
 Philetas:0 "Philetas"
 Philinos:0 "Philinos"
 Philippos:0 "Philippos"
 Philokles:0 "Philokles"
 Philon:0 "Philon"
 Philonides:0 "Philonides"
 Philopoimenos:0 "Philopoimenos"
 Philotas:0 "Philotas"
 Philoxenos:0 "Philoxenos"
 Phrynichos:0 "Phrynichos"
 Phylarkhos:0 "Phylarkhos"
 Phyromachos:0 "Phyromachos"
 Platon:0 "Platon"
 Pleistarchos:0 "Pleistarchos"
 Polemon:0 "Polemon"
 Polybios:0 "Polybios"
 Polydamas:0 "Polydamas"
 Polydoros:0 "Polydoros"
 Polyeuktos:0 "Polyeuktos"
 Polygnotos:0 "Polygnotos"
 Polyperchon:0 "Polyperchon"
 Poseidippos:0 "Poseidippos"
 Poseidonios:0 "Poseidonios"
 Praxibulos:0 "Praxibulos"
 Praxiteles:0 "Praxiteles"
 Prepelaos:0 "Prepelaos"
 Proteas:0 "Proteas"
 Ptolemaios:0 "Ptolemaios"
 Pyrrhias:0 "Pyrrhias"
 Pyrrhos:0 "Pyrrhos"
 Pytheas:0 "Pytheas"
 Pythodelos:0 "Pythodelos"
 Satyros:0 "Satyros"
 Seleukos:0 "Seleukos"
 Simmias:0 "Simmias"
 Simonides:0 "Simonides"
 Sophytes:0 "Sophytes"
 Sopolis:0 "Sopolis"
 Sosistratos:0 "Sosistratos"
 Sosthenes:0 "Sosthenes"
 Sostratos:0 "Sostratos"
 Sotas:0 "Sotas"
 Spalyris:0 "Spalyris"
 Spartokos:0 "Spartokos"
 Stasanor:0 "Stasanor"
 Stilpon:0 "Stilpon"
 Stratokles:0 "Stratokles"
 Straton:0 "Straton"
 Stratonikos:0 "Stratonikos"
 Taurion:0 "Taurion"
 Tauriskos:0 "Tauriskos"
 Teisikrates:0 "Teisikrates"
 Telesarchos:0 "Telesarchos"
 Thearidas:0 "Thearidas"
 Themistios:0 "Themistios"
 Theodamas:0 "Theodamas"
 Theodoros:0 "Theodoros"
 Theodotos:0 "Theodotos"
 Theokritos:0 "Theokritos"
 Theophilos:0 "Theophilos"
 Theophrastos:0 "Theophrastos"
 Thoas:0 "Thoas"
 Thoinias:0 "Thoinias"
 Thoinon:0 "Thoinon"
 Thrasykles:0 "Thrasykles"
 Timaios:0 "Timaios"
 Timarchos:0 "Timarchos"
 Timoleon:0 "Timoleon"
 Timotheos:0 "Timotheos"
 Tryphon:0 "Tryphon"
 Xanthippos:0 "Xanthippos"
 Xenares:0 "Xenares"
 Xenokrates:0 "Xenokrates"
 Xenophon:0 "Xenophon"
 Zeionises:0 "Zeionises"
 Zenon:0 "Zenon"
 Zeuxis:0 "Zeuxis"
 Zoilos:0 "Zoilos"
 Zopyrion:0 "Zopyrion"
